timestamp,key,event
2025-04-19 23:36:52.970146,Key.shift_r,press
2025-04-19 23:36:53.471243,Key.shift_r,press
2025-04-19 23:36:53.505754,Key.shift_r,release
2025-04-19 23:37:05.458096,Key.alt_l,press
2025-04-19 23:37:05.498368,Key.tab,press
2025-04-19 23:37:05.564371,Key.alt_l,release
2025-04-19 23:37:05.617996,Key.tab,release
2025-04-19 23:37:06.489424,Key.shift_r,press
2025-04-19 23:37:06.593762,W,press
2025-04-19 23:37:06.650234,Key.shift_r,release
2025-04-19 23:37:06.714175,w,release
2025-04-19 23:37:06.715217,i,press
2025-04-19 23:37:06.826531,i,release
2025-04-19 23:37:06.962082,l,press
2025-04-19 23:37:07.018045,l,release
2025-04-19 23:37:07.106556,l,press
2025-04-19 23:37:07.242632,i,press
2025-04-19 23:37:07.298048,l,release
2025-04-19 23:37:07.370141,i,release
2025-04-19 23:37:07.498456,e,press
2025-04-19 23:37:07.642103,e,release
2025-04-19 23:37:07.643096,Key.space,press
2025-04-19 23:37:07.778061,Key.space,release
2025-04-19 23:37:07.779049,Key.shift,press
2025-04-19 23:37:07.953792,M,press
2025-04-19 23:37:08.065662,Key.shift,release
2025-04-19 23:37:08.066660,m,release
2025-04-19 23:37:08.146693,.,press
2025-04-19 23:37:08.233903,.,release
2025-04-19 23:37:08.337963,Key.space,press
2025-04-19 23:37:08.401957,Key.shift_r,press
2025-04-19 23:37:08.433845,Key.space,release
2025-04-19 23:37:08.562242,B,press
2025-04-19 23:37:08.570239,Key.shift_r,release
2025-04-19 23:37:08.658238,b,release
2025-04-19 23:37:08.682238,o,press
2025-04-19 23:37:08.746235,n,press
2025-04-19 23:37:08.769530,a,press
2025-04-19 23:37:08.817843,o,release
2025-04-19 23:37:08.890827,n,release
2025-04-19 23:37:08.890827,v,press
2025-04-19 23:37:08.905934,a,release
2025-04-19 23:37:08.978387,v,release
2025-04-19 23:37:08.979377,e,press
2025-04-19 23:37:09.034378,n,press
2025-04-19 23:37:09.058225,e,release
2025-04-19 23:37:09.122469,t,press
2025-04-19 23:37:09.154367,n,release
2025-04-19 23:37:09.201916,t,release
2025-04-19 23:37:09.202924,e,press
2025-04-19 23:37:09.298280,e,release
2025-04-19 23:37:09.298280,Key.space,press
2025-04-19 23:37:09.426055,Key.space,release
2025-04-19 23:37:10.042430,a,press
2025-04-19 23:37:10.210028,a,release
2025-04-19 23:37:10.211028,n,press
2025-04-19 23:37:10.273922,d,press
2025-04-19 23:37:10.314589,n,release
2025-04-19 23:37:10.378255,d,release
2025-04-19 23:37:10.379255,Key.space,press
2025-04-19 23:37:10.481354,Key.space,release
2025-04-19 23:37:10.497694,t,press
2025-04-19 23:37:10.626102,h,press
2025-04-19 23:37:10.641621,t,release
2025-04-19 23:37:10.698434,e,press
2025-04-19 23:37:10.761878,h,release
2025-04-19 23:37:10.785880,Key.space,press
2025-04-19 23:37:10.849879,e,release
2025-04-19 23:37:10.905877,Key.space,release
2025-04-19 23:37:11.402651,m,press
2025-04-19 23:37:11.473799,o,press
2025-04-19 23:37:11.553773,s,press
2025-04-19 23:37:11.618299,o,release
2025-04-19 23:37:11.649455,m,release
2025-04-19 23:37:11.650458,t,press
2025-04-19 23:37:11.713983,s,release
2025-04-19 23:37:11.762219,t,release
2025-04-19 23:37:11.762219,Key.space,press
2025-04-19 23:37:11.841997,Key.space,release
2025-04-19 23:37:11.938370,i,press
2025-04-19 23:37:12.042480,m,press
2025-04-19 23:37:12.073863,i,release
2025-04-19 23:37:12.138503,p,press
2025-04-19 23:37:12.186491,o,press
2025-04-19 23:37:12.234010,p,release
2025-04-19 23:37:12.282287,m,release
2025-04-19 23:37:12.283290,r,press
2025-04-19 23:37:12.337851,r,release
2025-04-19 23:37:12.378804,o,release
2025-04-19 23:37:12.434032,t,press
2025-04-19 23:37:12.506189,a,press
2025-04-19 23:37:12.538451,t,release
2025-04-19 23:37:12.594184,n,press
2025-04-19 23:37:12.682591,a,release
2025-04-19 23:37:12.682591,t,press
2025-04-19 23:37:12.713856,n,release
2025-04-19 23:37:12.785971,Key.space,press
2025-04-19 23:37:12.802244,t,release
2025-04-19 23:37:12.889720,Key.space,release
2025-04-19 23:37:13.137935,t,press
2025-04-19 23:37:13.233928,t,release
2025-04-19 23:37:13.274213,h,press
2025-04-19 23:37:13.362405,i,press
2025-04-19 23:37:13.394165,h,release
2025-04-19 23:37:13.474245,n,press
2025-04-19 23:37:13.498490,i,release
2025-04-19 23:37:13.545999,g,press
2025-04-19 23:37:13.594113,n,release
2025-04-19 23:37:13.658149,g,release
2025-04-19 23:37:14.201864,s,press
2025-04-19 23:37:14.241921,s,release
2025-04-19 23:37:15.529765,Key.backspace,press
2025-04-19 23:37:15.578471,Key.backspace,release
2025-04-19 23:37:15.754199,Key.space,press
2025-04-19 23:37:15.858598,i,press
2025-04-19 23:37:15.881586,Key.space,release
2025-04-19 23:37:15.954077,s,press
2025-04-19 23:37:15.970189,i,release
2025-04-19 23:37:16.082211,s,release
2025-04-19 23:37:16.082211,Key.space,press
2025-04-19 23:37:16.177980,Key.space,release
2025-04-19 23:37:16.474193,n,press
2025-04-19 23:37:16.585746,o,press
2025-04-19 23:37:16.634561,n,release
2025-04-19 23:37:16.730382,o,release
2025-04-19 23:37:16.731407,t,press
2025-04-19 23:37:16.817714,Key.space,press
2025-04-19 23:37:16.858101,t,release
2025-04-19 23:37:16.898040,Key.space,release
2025-04-19 23:37:16.899038,s,press
2025-04-19 23:37:17.009975,s,release
2025-04-19 23:37:17.129974,u,press
2025-04-19 23:37:17.161773,u,release
2025-04-19 23:37:17.889969,Key.backspace,press
2025-04-19 23:37:17.922234,Key.backspace,release
2025-04-19 23:37:18.129739,o,press
2025-04-19 23:37:18.234672,o,release
2025-04-19 23:37:18.401649,Key.space,press
2025-04-19 23:37:18.490090,Key.space,release
2025-04-19 23:37:18.491118,m,press
2025-04-19 23:37:18.554145,m,release
2025-04-19 23:37:18.642067,u,press
2025-04-19 23:37:18.722064,u,release
2025-04-19 23:37:18.746092,c,press
2025-04-19 23:37:18.826621,h,press
2025-04-19 23:37:18.849997,c,release
2025-04-19 23:37:18.882499,h,release
